Chesseburger,4 oz,,,,,,,,,,,,,,
Grilled Cheese,1 oz/1 slice,,,,,,,,,,,,,,
Grilled Ham & Cheese,2 oz/1 oz/ 1 slice,,,,,,,,,,,,,,
Pizza,3 oz. Meat,,,,,,,,,,,,,,
Cowboy Reuben,4 oz,,,,,,,,,,,,,,
Turkey Club,4 oz,,,,,,,,,,,,,,
Walnut Chicken Salad,4 oz.,,,,,,,,,,,,,,
Chef Salad,4 oz,,,,,,,,,,,,,,
** Fresh Fruit,1/2 C.,,1 serve ,,,,,,,,,,,,
* Canned Fruit or Salad,1/2 C.,,1 serve,,,,,,,,,,,,
Cottage Cheese,1/2 C.,,,,,,,,,,,,,,
Apple Sauce,1/2 C.,,,,,,,,,,,,,,
Tossed Salad,1 C.,,,,,,,,,,,,,,
Vegetable Salad,1/2 C.,,,,,,,,,,,,,,
*/** Dessert,1 serving ,,1 serve ,1/2 serve ,,,,,,,,,,,
CYCLE: SEVEN ,,,,,Approved: ,,,,,,,,,,
Saturday Dinner */Supper **,Portion Size,Mech Soft,Pureed,Diet,HC Prep,Leftover,BB Prep ,Leftover,Buckley Prep,Leftover,,,,,
* Sweet & Sour Pork,6 oz.,Ground,1 Serve,,,,,,,,,,,,
** Chicken Tenders,4 oz.,ground ,1 serve,,,,,,,,,,,,
* Oriental Celery,1/2 C.,,1 serve ,,,,,,,,,,,,
Cauliflower ,1/2 C.,,,,,,,,,,,,,,
* Jasmine Rice ,1/2 C.,,,,,,,,,,,,,,
** Mashed Potato ,1/2 C.,,1 serve ,,,,,,,,,,,,
** Country Gravy,1 oz.,,1 Serve,,,,,,,,,,,,
,,,,,,,,,,,,,,,
*/** Bread Basket,1 Slice,,Crumbs,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Soup of the Day 1,1 C.,,,,,,,,,,,,,,
Soup of the Day 2,1 C.,,,,,,,,,,,,,,
Cheeseburger,4 oz,,,,,,,,,,,,,,
Grilled Cheese,1 oz/1 slice,,,,,,,,,,,,,,
Grilled Ham & Cheese,2 oz/1 oz/ 1 slice ,,,,,,,,,,,,,,
Pizza,3 oz Meat,,,,,,,,,,,,,,
Cowboy Reuben,4 oz,,,,,,,,,,,,,,
Turkey Club,4 oz,,,,,,,,,,,,,,
Walnut Chicken Salad,4 oz,,,,,,,,,,,,,,
Chef Salad,4 oz,,,,,,,,,,,,,,
Fresh Fruit,1/2 C.,,,,,,,,,,,,,,
** Canned Fruit or Salad,1/2 C.,,1 serve ,,,,,,,,,,,,
Cottage Cheese,1/2 C.,,,,,,,,,,,,,,
Apple Sauce ,1/2 C. ,,,,,,,,,,,,,,
Tossed Salad,1 C.,,,,,,,,,,,,,,
* Vegetable Salad,1/2 C.,,1 serve ,,,,,,,,,,,,
*/** Dessert,1 serving,,1 serve ,1/2 serve ,,,,,,,,,,,
,,,,,,,,,,,,,,,
CYCLE: SEVEN,,,,,Approved:,,,,,,,,,,
